"id","treat.hs","treat.para","rear.temp.avg","rear.temp.var","test.temp","test.time","chamber","coll.loc","num.ovp","mass.3","mass.in.test","mass.out.test","mass.4","mass.5","inst.6","mass.6","inst.7","mass.7","date.wand","mass.wand","mongo","mass5.2wks","mass5.3wks","mass.p6.wk1","mass.p6.wk2","mass.p6.wk3","date.cull","mass.cull","mass.p7.wk1","mass.48em","num.em","num.coc","num.fail.spin","num.unem","load","num.ecl","live.fem","live.male","para.pup","para.ecl","in.florence","notes","diss.notes","date.hatch.j","date.died.j","date.coll.j","date.ovp.j","date.3.j","date.in.test.j","date.out.test.j","date.4.j","date.5.j","date.6.j","date.7.j","date.wand.j","date5.2wks.j","date5.3wks.j","date.p6.wk1.j","date.p6.wk2.j","date.p6.wk3.j","date.cull.j","date.p7.wk1.j","date.em.j","date.ecl.j","date.p5.1","mass.p5.1","inst.p5.1","date.p5.2","mass.p5.2","inst.p5.2","date.p5.3","mass.p5.3","inst.p5.3","date.p5.4","mass.p5.4","inst.p5.4","date.p5.5","mass.p5.5","inst.p5.5","died.toss","time.ovp.dec","time.3.dec","time.in.test.dec","time.out.test.dec","hrs.in.test","delta.mass.test","time.bf.test","time.ovpbf.test","delta.mass.bf.test","ttwand","ttem.w","ttem.h","tt3","tt4","tt5","tt6","tt7","ttcull","ttp5.1","ttp5.2","ttp5.3","ttp5.4","ttp5.5"
4,"control","np",25,10,"35","24","marvin","rm",NA,41.56,43.85,49.28,54.86,154.86,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,209,232,207,NA,215,215,216,220,228,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10.2333333333333,14.9166666666667,14.9,23.9833333333333,5.43,4.68333333333333,NA,2.29,NA,NA,NA,6,11,19,NA,NA,NA,NA,NA,NA,NA,NA
5,"shock","np",25,10,"40","24","wallace","rm",NA,18.19,18.13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"dessicated",NA,209,216,207,NA,215,215,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10.2833333333333,14.9166666666667,NA,NA,NA,4.63333333333333,NA,-0.0600000000000023,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"shock","np",25,10,"43","24","c3p0","rm",NA,30.55,33.28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"dessicated",NA,209,216,207,NA,215,215,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10.3166666666667,14.9166666666667,NA,NA,NA,4.6,NA,2.73,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"control","np",25,10,"35","24","marvin","rm",NA,32.1,40.82,73.35,156.1,670.24,NA,NA,NA,NA,"8/17/18",7019.62,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,209,0,207,NA,215,215,216,219,223,0,NA,229,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10.35,14.9166666666667,14.9,23.9833333333333,32.53,4.56666666666667,NA,8.72,20,NA,NA,6,10,14,NA,NA,NA,NA,NA,NA,NA,NA
11,"shock","np",25,10,"40","24","wallace","rm",NA,32.12,36.28,65.07,193.59,1263.74,NA,NA,NA,NA,"8/18/18",10058.16,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,209,0,207,NA,215,215,216,220,225,0,NA,230,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10.3666666666667,14.9166666666667,14.8166666666667,23.9,28.79,4.55,NA,4.16,21,NA,NA,6,11,16,NA,NA,NA,NA,NA,NA,NA,NA
12,"shock","np",25,10,"43","24","c3p0","rm",NA,35.57,39.91,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"dessicated",NA,209,216,207,NA,215,215,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10.4,14.9166666666667,NA,NA,NA,4.51666666666667,NA,4.34,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"control","np",25,10,"35","24","marvin","rm",NA,37.22,43.63,74.93,63.03,167.69,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,209,237,207,NA,215,215,216,219,230,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10.4666666666667,14.9166666666667,14.9,23.9833333333333,31.3,4.45,NA,6.41,NA,NA,NA,6,10,21,NA,NA,NA,NA,NA,NA,NA,NA
17,"shock","np",25,10,"40","24","wallace","rm",NA,33.02,35.7,86.39,107.03,232.16,1,1609.58,NA,NA,"8/23/18",7623.98,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,209,0,207,NA,215,215,216,220,223,229,NA,235,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10.5,14.9166666666667,14.8166666666667,23.9,50.69,4.41666666666667,NA,2.68,26,NA,NA,6,11,14,20,NA,NA,NA,NA,NA,NA,NA
18,"shock","np",25,10,"43","24","c3po","rm",NA,25.01,27.86,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"dessicated",NA,209,216,207,NA,215,215,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,10.55,14.9166666666667,NA,NA,NA,4.36666666666667,NA,2.85,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"control","np",25,10,"35","24","marvin","rm",NA,17.79,18.44,15.05,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,208,217,207,NA,215,215,216,NA,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,11.4833333333333,14.9166666666667,14.9,23.9833333333333,-3.39,3.43333333333333,NA,0.650000000000002,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
