"id","test.temp","instar","mass","age","treat.hs","treat.para","rear.temp.avg","rear.temp.var","test.time","chamber","coll.loc","num.ovp","mass.in.test","mass.out.test","inst.6","inst.7","date.wand","mongo","mass5.2wks","mass5.3wks","mass.p6.wk1","mass.p6.wk2","mass.p6.wk3","date.cull","mass.cull","mass.p7.wk1","num.em","num.coc","num.fail.spin","num.unem","load","num.ecl","live.fem","live.male","para.pup","para.ecl","in.florence","notes","diss.notes","date.hatch.j","date.died.j","date.coll.j","date.ovp.j","date.3.j","date.in.test.j","date.out.test.j","date.4.j","date.5.j","date.6.j","date.7.j","date.wand.j","date5.2wks.j","date5.3wks.j","date.p6.wk1.j","date.p6.wk2.j","date.p6.wk3.j","date.cull.j","date.p7.wk1.j","date.em.j","date.ecl.j","date.p5.1","mass.p5.1","date.p5.2","mass.p5.2","date.p5.3","mass.p5.3","date.p5.4","mass.p5.4","date.p5.5","mass.p5.5","died.toss","time.ovp.dec","time.3.dec","time.in.test.dec","time.out.test.dec","hrs.in.test","delta.mass.test","time.bf.test","time.ovpbf.test","delta.mass.bf.test","ttwand","ttem.w","ttem.h","tt3","tt4","tt5","tt6","tt7","ttcull","ttp5.1","ttp5.2","ttp5.3","ttp5.4","ttp5.5","date.end","ttend","stage"
1,"35","3",38.78,7,"control","p",25,10,"24","marvin","rm",2,42.82,87.54,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,33,24,9,NA,33,NA,NA,NA,NA,NA,NA,"2 ovp, same wasp",NA,208,0,207,215,215,215,216,220,225,0,NA,NA,0,0,0,0,0,NA,0,231,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.95,9.95,14.9166666666667,14.9,23.9833333333333,44.72,4.96666666666667,3.96666666666667,4.04,NA,16,23,7,12,17,NA,NA,NA,NA,NA,NA,NA,NA,231,23,NA
1,"35","4",152.51,12,"control","p",25,10,"24","marvin","rm",2,42.82,87.54,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,33,24,9,NA,33,NA,NA,NA,NA,NA,NA,"2 ovp, same wasp",NA,208,0,207,215,215,215,216,220,225,0,NA,NA,0,0,0,0,0,NA,0,231,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.95,9.95,14.9166666666667,14.9,23.9833333333333,44.72,4.96666666666667,3.96666666666667,4.04,NA,16,23,7,12,17,NA,NA,NA,NA,NA,NA,NA,NA,231,23,NA
1,"35","5",242.09,17,"control","p",25,10,"24","marvin","rm",2,42.82,87.54,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,33,24,9,NA,33,NA,NA,NA,NA,NA,NA,"2 ovp, same wasp",NA,208,0,207,215,215,215,216,220,225,0,NA,NA,0,0,0,0,0,NA,0,231,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.95,9.95,14.9166666666667,14.9,23.9833333333333,44.72,4.96666666666667,3.96666666666667,4.04,NA,16,23,7,12,17,NA,NA,NA,NA,NA,NA,NA,NA,231,23,NA
1,"35","6",NA,NA,"control","p",25,10,"24","marvin","rm",2,42.82,87.54,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,33,24,9,NA,33,NA,NA,NA,NA,NA,NA,"2 ovp, same wasp",NA,208,0,207,215,215,215,216,220,225,0,NA,NA,0,0,0,0,0,NA,0,231,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.95,9.95,14.9166666666667,14.9,23.9833333333333,44.72,4.96666666666667,3.96666666666667,4.04,NA,16,23,7,12,17,NA,NA,NA,NA,NA,NA,NA,NA,231,23,NA
1,"35","7",NA,NA,"control","p",25,10,"24","marvin","rm",2,42.82,87.54,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,33,24,9,NA,33,NA,NA,NA,NA,NA,NA,"2 ovp, same wasp",NA,208,0,207,215,215,215,216,220,225,0,NA,NA,0,0,0,0,0,NA,0,231,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.95,9.95,14.9166666666667,14.9,23.9833333333333,44.72,4.96666666666667,3.96666666666667,4.04,NA,16,23,7,12,17,NA,NA,NA,NA,NA,NA,NA,NA,231,23,NA
1,"35","em",1210.95,23,"control","p",25,10,"24","marvin","rm",2,42.82,87.54,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,33,24,9,NA,33,NA,NA,NA,NA,NA,NA,"2 ovp, same wasp",NA,208,0,207,215,215,215,216,220,225,0,NA,NA,0,0,0,0,0,NA,0,231,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.95,9.95,14.9166666666667,14.9,23.9833333333333,44.72,4.96666666666667,3.96666666666667,4.04,NA,16,23,7,12,17,NA,NA,NA,NA,NA,NA,NA,NA,231,23,NA
1,"35","end",1210.95,23,"control","p",25,10,"24","marvin","rm",2,42.82,87.54,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,33,24,9,NA,33,NA,NA,NA,NA,NA,NA,"2 ovp, same wasp",NA,208,0,207,215,215,215,216,220,225,0,NA,NA,0,0,0,0,0,NA,0,231,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.95,9.95,14.9166666666667,14.9,23.9833333333333,44.72,4.96666666666667,3.96666666666667,4.04,NA,16,23,7,12,17,NA,NA,NA,NA,NA,NA,NA,NA,231,23,NA
1,"35","p5.1",NA,NA,"control","p",25,10,"24","marvin","rm",2,42.82,87.54,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,33,24,9,NA,33,NA,NA,NA,NA,NA,NA,"2 ovp, same wasp",NA,208,0,207,215,215,215,216,220,225,0,NA,NA,0,0,0,0,0,NA,0,231,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.95,9.95,14.9166666666667,14.9,23.9833333333333,44.72,4.96666666666667,3.96666666666667,4.04,NA,16,23,7,12,17,NA,NA,NA,NA,NA,NA,NA,NA,231,23,NA
1,"35","p5.2",NA,NA,"control","p",25,10,"24","marvin","rm",2,42.82,87.54,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,33,24,9,NA,33,NA,NA,NA,NA,NA,NA,"2 ovp, same wasp",NA,208,0,207,215,215,215,216,220,225,0,NA,NA,0,0,0,0,0,NA,0,231,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.95,9.95,14.9166666666667,14.9,23.9833333333333,44.72,4.96666666666667,3.96666666666667,4.04,NA,16,23,7,12,17,NA,NA,NA,NA,NA,NA,NA,NA,231,23,NA
1,"35","p5.3",NA,NA,"control","p",25,10,"24","marvin","rm",2,42.82,87.54,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,33,24,9,NA,33,NA,NA,NA,NA,NA,NA,"2 ovp, same wasp",NA,208,0,207,215,215,215,216,220,225,0,NA,NA,0,0,0,0,0,NA,0,231,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.95,9.95,14.9166666666667,14.9,23.9833333333333,44.72,4.96666666666667,3.96666666666667,4.04,NA,16,23,7,12,17,NA,NA,NA,NA,NA,NA,NA,NA,231,23,NA
