id,treat.hs,treat.para,rear.temp.avg,rear.temp.var,test.temp,test.time,chamber,date.hatch,date.died,date.coll,coll.loc,date.ovp,time.ovp,num.ovp,date.3,time.3,mass.3,date.in.test,time.in.test,mass.in.test,date.out.test,time.out.test,mass.out.test,date.4,mass.4,date.5,mass.5,inst.6,date.6,mass.6,inst.7,date.7,mass.7,date.wand,mass.wand,mongo,date.died.mongo,date5.2wks,mass5.2wks,date5.3wks,mass5.3wks,date.p6.wk1,mass.p6.wk1,date.p6.wk2,mass.p6.wk2,date.p6.wk3,mass.p6.wk3,date.cull,mass.cull,date.p7.wk1,mass.p7.wk1,date.em,mass.48em,num.em,num.coc,num.fail.spin,num.unem,load,date.ecl,num.ecl,live.fem,live.male,para.pup,para.ecl,in.florence,notes,diss.notes
1,control,p,25,10,35,24,marvin,7/27/18,,7/26/18,rm,8/3/18,10:57,2,8/3/18,9:57,38.78,8/3/18,14:55,42.82,8/4/18,14:54,87.54,8/8/18,152.51,8/13/18,242.09,,,,,,,,,,,,,,,,,,,,,,,,,8/19/18,1210.95,33,24,9,,33,8/25/18,,,,,,,"2 ovp, same wasp",
2,shock,p,25,10,40,24,wallace,7/28/18,,7/26/18,rm,8/3/18,11:04,2,8/3/18,10:13,29.94,8/3/18,14:55,36.77,8/4/18,14:49,74.21,8/7/18,107.45,8/12/18,587.64,1,8/17/18,1730.77,,,,,,,,,,,,8/26/18,9366.07,8/31/18,10737.03,9/7/18,11676.63,9/11/18,10890.89,,,,,0,,,,0,,,,,,,,,
3,shock,p,25,10,43,24,c3po,7/28/18,8/4/18,7/26/18,rm,8/3/18,11:08,2,8/3/18,10:18,30.03,8/3/18,14:55,37.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
4,control,np,25,10,35,24,marvin,7/28/18,8/20/18,7/26/18,rm,,,,8/3/18,10:14,41.56,8/3/18,14:55,43.85,8/4/18,14:54,49.28,8/8/18,54.86,8/16/18,154.86,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
5,shock,np,25,10,40,24,wallace,7/28/18,8/4/18,7/26/18,rm,,,,8/3/18,10:17,18.19,8/3/18,14:55,18.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
6,shock,np,25,10,43,24,c3p0,7/28/18,8/4/18,7/26/18,rm,,,,8/3/18,10:19,30.55,8/3/18,14:55,33.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
7,control,p,25,10,35,24,marvin,7/28/18,,7/26/18,rm,8/3/18,10:55,1,8/3/18,10:20,36.09,8/3/18,14:55,39.3,8/4/18,14:54,48.8,8/7/18,97.76,8/12/18,350.8,,,,,,,,,,,,,,,,,,,,,,,,,8/19/18,427.36,9,7,2,,9,8/25/18,,,,,,,,
8,shock,p,25,10,40,24,wallace,7/28/18,8/20/18,7/26/18,rm,8/3/18,11:02,1,8/3/18,10:23,44.18,8/3/18,14:55,47.95,8/4/18,14:49,48.69,8/8/18,103.34,8/13/18,372.57,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
9,shock,p,25,10,43,24,c3po,7/28/18,8/4/18,7/26/18,rm,8/3/18,11:07,3,8/3/18,10:25,35.81,8/3/18,14:55,42.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
10,control,np,25,10,35,24,marvin,7/28/18,,7/26/18,rm,,,,8/3/18,10:21,32.1,8/3/18,14:55,40.82,8/4/18,14:54,73.35,8/7/18,156.1,8/11/18,670.24,,,,,,,8/17/18,7019.62,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
11,shock,np,25,10,40,24,wallace,7/28/18,,7/26/18,rm,,,,8/3/18,10:22,32.12,8/3/18,14:55,36.28,8/4/18,14:49,65.07,8/8/18,193.59,8/13/18,1263.74,,,,,,,8/18/18,10058.16,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
12,shock,np,25,10,43,24,c3p0,7/28/18,8/4/18,7/26/18,rm,,,,8/3/18,10:24,35.57,8/3/18,14:55,39.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
13,control,p,25,10,35,24,marvin,7/28/18,8/19/18,7/26/18,rm,8/3/18,10:53,1,8/3/18,10:34,24.79,8/3/18,14:55,30.65,8/4/18,14:55,43.49,8/7/18,60.02,8/13/18,110.17,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,died during trial,
14,shock,p,25,10,40,24,wallace,7/28/18,8/4/18,7/26/18,rm,8/3/18,11:01,2,8/3/18,10:39,29.29,8/3/18,14:55,25.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
15,shock,p,25,10,43,24,c3po,7/28/18,8/4/18,7/26/18,rm,8/3/18,11:05,1,8/3/18,10:41,45.42,8/3/18,14:55,53.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
16,control,np,25,10,35,24,marvin,7/28/18,8/25/18,7/26/18,rm,,,,8/3/18,10:28,37.22,8/3/18,14:55,43.63,8/4/18,14:54,74.93,8/7/18,63.03,8/18/18,167.69,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
17,shock,np,25,10,40,24,wallace,7/28/18,,7/26/18,rm,,,,8/3/18,10:30,33.02,8/3/18,14:55,35.7,8/4/18,14:49,86.39,8/8/18,107.03,8/11/18,232.16,1,8/17/18,1609.58,,,,8/23/18,7623.98,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,
18,shock,np,25,10,43,24,c3po,7/28/18,8/4/18,7/26/18,rm,,,,8/3/18,10:33,25.01,8/3/18,14:55,27.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,dessicated,
